artist.name,track.name,album.name,album.type,popularity,type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
DEAN,instagram,instagram,single,70,male solo,0.463,0.566,8,-6.195,0.145,0.196,0,0.284,0.219,93.921,4,G#,major,G# major
GOT7,You Calling My Name,Call My Name,single,69,boy group,0.813,0.667,0,-4.061,0.0616,0.0917,0,0.0802,0.514,111.02,4,C,minor,C minor
ATEEZ,WONDERLAND,TREASURE EP.FIN: All To Action,album,69,boy group,0.572,0.964,4,-1.949,0.123,0.0503,0,0.372,0.519,129.979,4,E,minor,E minor
NCT DREAM,BOOM,We Boom - The 3rd Mini Album,single,69,boy group,0.914,0.516,5,-4.178,0.0918,0.131,0,0.0441,0.702,119.969,4,F,minor,F minor
HEIZE,We don’t talk together,We don’t talk together,single,67,female solo,0.64,0.734,11,-4.67,0.0381,0.039,0,0.333,0.308,97.862,4,B,minor,B minor
IZ*ONE,Violeta,HEART*IZ,album,64,girl group,0.715,0.88,7,-2.94,0.0685,0.00373,0,0.104,0.669,115.012,4,G,major,G major
DAY6,Sweet Chaos,The Book of Us : Entropy,album,63,boy band,0.335,0.937,11,-1.895,0.0737,0.00502,0,0.51,0.529,199.692,4,B,minor,B minor
LeeHi,NO ONE,24℃,single,63,female solo,0.745,0.613,11,-5.368,0.0427,0.226,0,0.0664,0.542,91.997,4,B,minor,B minor
Monsta X,Follow,FOLLOW - FIND YOU,album,62,boy group,0.638,0.93,0,-2.214,0.0923,0.0305,2.38e-6,0.228,0.734,109.961,4,C,major,C major
NCT,Black on Black,NCT 2018 EMPATHY,album,62,boy group,0.523,0.864,10,-4.746,0.359,0.106,4.54e-4,0.0672,0.247,142.11,4,A#,minor,A# minor
CLC,Devil,Devil,single,62,girl group,0.79,0.888,10,-3.589,0.0479,0.034,4.48e-6,0.0783,0.946,148.028,4,A#,minor,A# minor
Eric Nam,Runaway,Runaway,single,62,male solo,0.731,0.775,8,-4.079,0.0491,0.287,0,0.102,0.616,119.972,4,G#,major,G# major
iKON,KILLING ME,NEW KIDS REPACKAGE : THE NEW KIDS,compilation,61,boy group,0.76,0.672,9,-5.277,0.0732,0.465,0,0.205,0.505,127.986,4,A,minor,A minor
GFRIEND,Fever,GFRIEND The 7th Mini Album `FEVER SEASON`,single,61,girl group,0.764,0.836,1,-2.868,0.0396,0.208,0,0.234,0.51,111.934,4,C#,major,C# major
Wanna One,Energetic,1-1=0 (NOTHING WITHOUT YOU),album,61,boy group,0.714,0.886,0,-3.076,0.0461,0.058,0,0.112,0.752,125.046,4,C,major,C major
KARD,Dumb Litty,KARD 2nd Digital Single ‘Dumb Litty’,single,61,mixed group,0.76,0.887,9,-1.993,0.0409,0.037,0,0.138,0.24,130.018,4,A,major,A major
SEVENTEEN,HIT,An Ode,album,60,boy group,0.616,0.908,9,-3.97,0.26,0.0861,0,0.129,0.658,130.048,4,A,minor,A minor
Stray Kids,Double Knot,Double Knot,single,60,boy group,0.716,0.814,5,-2.889,0.35,0.0486,0,0.607,0.575,146.925,4,F,minor,F minor
PENTAGON,Humph!,SUM(ME:R),single,58,boy group,0.791,0.674,2,-4.025,0.0516,0.168,0,0.0801,0.963,132.985,4,D,major,D major
BOL4,Bom,Puberty BookⅠ Bom,single,58,female solo,0.595,0.631,7,-3.533,0.0657,0.539,0,0.0786,0.533,195.991,4,G,major,G major
SUPER JUNIOR,SUPER Clap,Time_Slip - The 9th Album,album,55,boy group,0.768,0.951,0,-4.404,0.183,0.0452,0,0.275,0.878,140.026,4,C,major,C major
EXID,Me & You,WE,album,55,girl group,0.709,0.911,7,-2.611,0.0593,0.0572,4.73e-6,0.0732,0.779,106.972,4,G,major,G major
BIGBANG,BANG BANG BANG,MADE SERIES,album,54,boy group,0.633,0.857,1,-3.006,0.0412,0.00983,0,0.331,0.489,135.013,4,C#,major,C# major
SHINee,Good Evening,The Story of Light' Epilogue - The 6th Album,album,54,boy group,0.678,0.809,8,-4.162,0.0598,0.0383,0,0.243,0.561,119.979,4,G#,major,G# major
CHEN,Shall we?,Dear my dear - The 2nd Mini Album,single,54,male solo,0.572,0.401,4,-6.067,0.0255,0.543,1.34e-4,0.117,0.206,139.769,4,E,major,E major
Girls' Generation,Holiday,Holiday Night - The 6th Album,album,53,girl group,0.709,0.867,1,-3.258,0.0672,0.0406,0,0.275,0.877,120.022,4,C#,major,C# major
Jay Park,K-TOWN,K-TOWN,single,51,male solo,0.832,0.65,2,-4.553,0.212,0.0076,1.3e-5,0.121,0.57,167.943,4,D,major,D major
WINNER,SOSO,CROSS,single,51,boy group,0.711,0.848,5,-4.333,0.0359,0.421,0,0.235,0.728,115.988,4,F,minor,F minor
NCT 127,Highway to Heaven,NCT #127 WE ARE SUPERHUMAN - The 4th Mini Album,single,50,boy group,0.642,0.729,6,-5.005,0.056,0.0297,0,0.102,0.536,112.966,4,F#,major,F# major
MOMOLAND,BANANA CHACHA,BANANA CHACHA,single,50,girl group,0.856,0.946,0,-2.238,0.0958,0.11,8.98e-5,0.124,0.896,139.986,4,C,major,C major
