word,n
지금,151
밤,105
다시,96
순간,77
함께,62
오늘,59
좋아,58
모두,52
원해,52
눈을,51
시간,51
눈,50
맘,50
매일,50
아름다운,48
마음,47
몰라,46
눈빛,44
다른,44
손을,43
꼭,42
같이,41
마치,38
자꾸,38
괜찮아,37
멈출,37
멀리,36
세상,35
손,35
알아,35
꿈,34
작은,33
전부,33
여전히,32
오늘도,32
하나,32
달려,30
사람,30
숨,30
영원히,30
진짜,30
생각해,29
항상,28
마셔,27
색,27
하늘,27
혼자,27
못해,26
빠져,26
