,artist.name,track.name,album.name,album.type,popularity,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_name,mode_name,key_mode
37,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),single,75,pop,0.872,0.814,0,-4.568,0.155,0.00485,1.96E-06,0.214,0.57,98.985,4,C,major,C major
38,Lizzo,Truth Hurts,Cuz I Love You (Deluxe),album,71,pop,0.715,0.624,4,-3.046,0.114,0.11,0,0.123,0.412,158.087,4,E,minor,E minor
39,FLETCHER,Undrunk,you ruined new york city for me,single,71,pop,0.442,0.579,5,-6.484,0.145,0.489,1.04E-06,0.126,0.546,83.336,4,F,major,F major
40,Lizzo,Good as Hell,Good as Hell,single,69,pop,0.682,0.919,0,-3.18,0.0875,0.256,0,0.442,0.535,95.982,4,C,minor,C minor
41,Dermot Kennedy,Outnumbered,Without Fear,album,69,pop,0.614,0.684,0,-5.79,0.157,0.247,0,0.0976,0.258,156.85,4,C,major,C major
42,blackbear,hot girl bummer,hot girl bummer,single,55,pop,0.778,0.559,6,-7.109,0.0776,0.128,0,0.399,0.678,129.989,1,F#,minor,F# minor
43,Maren Morris,The Bones,GIRL,album,25,pop,0.612,0.57,11,-6.642,0.0347,0.279,0,0.0963,0.335,77.004,4,B,minor,B minor
44,Lauv,i'm so tired...,i'm so tired...,single,15,pop,0.599,0.733,11,-7.058,0.203,0.176,0,0.242,0.534,102.211,4,B,major,B major
45,Selena Gomez,Lose You To Love Me,Lose You To Love Me,single,15,pop,0.505,0.34,4,-9.005,0.0438,0.576,0,0.21,0.0916,101.993,4,E,major,E major
46,Halsey,Graveyard,Graveyard,single,13,pop,0.667,0.583,11,-5.127,0.0747,0.231,4.48E-05,0.181,0.187,92.043,4,B,minor,B minor
