word,n
위에,18
잡고,18
터질,18
희망이,18
3,17
au,17
didn't,17
every,17
hae,17
long,17
off,17
precious,17
together,17
vie,17
won't,17
yi,17
나나나,17
나쁜,17
너란,17
눈이,17
된,17
못한,17
반짝이는,17
밤에,17
별,17
쉴,17
시간을,17
아무것도,17
안돼,17
어떻게,17
원하는,17
이상,17
잡아,17
춤을,17
함께라면,17
am,16
by,16
color,16
disaster,16
ehy,16
forever,16
gat,16
glow,16
jaemitgetda,16
jam,16
mic,16
move,16
nananana,16
same,16
shit,16
shot,16
sungan,16
sunny,16
thank,16
trouble,16
twisted,16
urin,16
wait,16
we'll,16
whatta,16
그만,16
기다려,16
내일,16
너랑,16
더는,16
따라,16
따윈,16
랄라라,16
막,16
만나,16
만난,16
맘에,16
머리,16
멋대로,16
무슨,16
발,16
보며,16
보여,16
빨리,16
사랑에,16
새로운,16
아닌데,16
아래,16
아픈,16
어느,16
어쩌면,16
없지,16
워워워워워,16
원하게,16
이래,16
있을,16
재밌겠다,16
제일,16
중,16
질러,16
하지만,16
휭,16
adios,15
ça,15
care,15
dasi,15
english,15
huh,15
lights,15
mi,15
neomu,15
neowa,15
neoye,15
revoir,15
sigan,15
sky,15
something,15
top,15
try,15
가시나,15
결국,15
곳을,15
노래,15
놓지,15
눈에,15
달콤한,15
대체,15
데리러,15
때면,15
뜨거운,15
뜨거워,15
말해줘,15
맘은,15
매일이,15
멈춘,15
모르게,15
모르는,15
못할,15
미친,15
바람,15
보다,15
본,15
생각,15
시간은,15
아끼지마,15
알잖아,15
어떡해,15
없던,15
입,15
잔,15
차가운,15
치,15
품에,15
할게,15
在,15
24,14
baam,14
bit,14
broken,14
dance,14
emotional,14
fine,14
friend,14
friends,14
han,14
ije,14
li,14
little,14
manners,14
milkshake,14
nana,14
runaway,14
si,14
soge,14
tight,14
toi,14
가요,14
가장,14
그때,14
그리워,14
근데,14
깊은,14
내일은,14
너가,14
너야,14
데이트,14
돗대,14
둔,14
듯해,14
뜰,14
모른,14
뭐가,14
뭔가,14
바나나,14
바래,14
보낼,14
사랑을,14
사실,14
세상이,14
손이,14
안고,14
어디에,14
없을,14
잊지,14
튕기지,14
향한,14
2,13
7,13
ahh,13
angel,13
because,13
been,13
being,13
check,13
cherry,13
cool,13
did,13
dwae,13
eobs,13
going,13
her,13
home,13
je,13
lo,13
man,13
mo,13
or,13
other,13
que,13
seen,13
siren,13
tear,13
translation,13
ttae,13
u,13
were,13
woohoo,13
would,13
wrong,13
yes,13
zai,13
가도,13
가슴,13
거리,13
그건,13
그리,13
기억을,13
깨워,13
꽉,13
꿈에,13
꿈이,13
끌려,13
끝없이,13
나에게,13
남은,13
놀아,13
담아,13
때문에,13
마지막처럼,13
말도,13
멈추지,13
멋진,13
반드시,13
밤새,13
밤을,13
보여줄,13
살짝,13
소중한,13
순,13
순간에,13
심장이,13
아직도,13
안아보자,13
어디든,13
완벽한,13
운명을,13
이야기,13
있네,13
있을까,13
저기,13
지난,13
추억이,13
하루,13
해가,13
혹시,13
후우,13
흘러,13
another,12
believe,12
billboard,12
d,12
dashi,12
dian,12
dna,12
drop,12
eopseo,12
geot,12
god,12
honestly,12
last,12
laughs,12
maeil,12
naege,12
o,12
owe,12
people,12
sipeo,12
stylish,12
then,12
thing,12
undercover,12
worry,12
you've,12
같던,12
건지,12
그래서,12
그럴,12
끄덕끄덕하면,12
나로,12
낯선,12
너에게로,12
눈앞에,12
다가와,12
다들,12
닮은,12
두려워,12
들어,12
똑같은,12
띠야이야,12
맘의,12
몰래,12
몸이,12
바밤,12
밤으로,12
베베,12
별처럼,12
부탁해,12
분,12
빙빙,12
