word,n
laralalala,4
lian,4
limit,4
limitless,4
listen,4
living,4
lovely,4
m,4
maeum,4
maeumi,4
mag,4
maju,4
mami,4
may,4
meet,4
men,4
meol,4
message,4
ming,4
moi,4
moreuge,4
n,4
naneun,4
neng,4
neolang,4
neonikka,4
neukkil,4
neukkim,4
neukkimeun,4
neukkineun,4
neukkyeojyeo,4
neul,4
ol,4
olla,4
oo,4
oooo,4
open,4
pas,4
phone,4
point,4
ppajidorok,4
pull,4
pullin,4
pum,4
pureuge,4
r,4
reaches,4
record,4
relentlessly,4
revolution,4
rich,4
ride,4
rip,4
rules,4
run,4
saenggage,4
saenggak,4
saranghal,4
sentiment,4
shang,4
shhh,4
shigane,4
shilgam,4
shop,4
should've,4
single,4
sippin,4
sog,4
someday,4
soon,4
sore,4
sori,4
speed,4
steal,4
straight,4
strange,4
strip,4
such,4
sungando,4
t,4
tippin,4
trigger,4
ttaemyeon,4
ttaen,4
tv,4
uhm,4
ulin,4
understand,4
waited,4
waiting,4
wear,4
wherever,4
wilder,4
worldwide,4
xing,4
yaegil,4
years,4
yeogi,4
yuh,4
yup,4
zero,4
가득히,4
가릴,4
가져가,4
감각을,4
감당,4
감아볼까,4
감정에,4
같은데,4
걔걔걔,4
걔걔걔걔,4
거기까지,4
거라면,4
거야아직은,4
거잖아,4
거지,4
걸어가고,4
걸어갈,4
걸음,4
걸음씩,4
겨우,4
결과는,4
결말,4
고민에,4
고백,4
괜찮아요,4
굴면,4
그곳이,4
그녀는,4
그대의,4
그댄,4
그딴,4
그때도,4
그러니,4
그리고,4
그에게,4
금빛,4
기억나,4
기울여,4
기적처럼,4
길이,4
깨우고,4
깨질,4
꺼내,4
꺼지지,4
꽃,4
꽃이,4
꿈꾸던,4
꿈속에,4
꿈에서,4
끝낼수록,4
나나나나,4
나나나나나,4
나나나나나나,4
나답게,4
나란,4
나만을,4
나아,4
나은,4
나지,4
날도,4
날부터,4
날아올라,4
날을,4
날의,4
날처럼,4
남겨준,4
남김없이,4
남아,4
남이,4
낮과,4
내게는,4
내는,4
내려와,4
내어,4
냉정히,4
너무나,4
너처럼,4
넘어가,4
넘어서,4
노래로,4
녹아드는,4
놀,4
놀랄,4
놀러,4
높아,4
놓아볼까,4
놓을,4
놓칠까,4
눈부신,4
눈빛만,4
느껴지니,4
느낌이,4
다다,4
다다다,4
단둘이,4
달라진,4
달려보자,4
달리,4
답은,4
당연해,4
당장,4
닿아,4
닿지,4
대답이,4
더럽게,4
더욱더,4
덮쳐,4
도로,4
도리도리,4
도시,4
돌려,4
되기,4
둬,4
드네,4
드디어,4
듣는,4
들어줘요,4
등을,4
따위가,4
때쯤,4
떠날수록,4
떨어져,4
떼어,4
뜨거워진,4
뜨겁게,4
뜨고,4
룰은,4
마음대로,4
마중,4
막을,4
막이,4
막힌,4
만날,4
만들라고,4
만들어가는,4
만만한,4
만약에,4
말에,4
말하는,4
맘껏,4
맞아줄게,4
맴돌아,4
머린,4
머릿속에,4
멀어져,4
멈춰진,4
멈칫한,4
멋져,4
멜로디,4
모르겠지,4
모잘라,4
몰아쳐도,4
무너져,4
무릎,4
묶고,4
문,4
문을,4
물들고,4
뭐든지,4
뭐라고,4
뭐를,4
뭐해,4
미래,4
미래를,4
미소가,4
미치겠어,4
밑,4
바나나나,4
바다를,4
바라,4
바라보는,4
바람을,4
바보같이,4
바빠,4
반갑게,4
반대로,4
받아줘,4
밤도,4
방,4
버렸어,4
번진,4
법,4
벽을,4
변치,4
변했다,4
보기,4
보던,4
보듯이,4
복잡한,4
본능적,4
부디,4
부를게,4
부서지는,4
불꽃이,4
불러도,4
불어도,4
불어온,4
불어와,4
불화살처럼,4
비바람이,4
비춰,4
비춰봐,4
빛나게,4
빛나줘,4
빛의,4
빠져든다,4
빠지도록,4
뿐이야,4
사라져,4
사라질,4
사람과,4
사람들의,4
사람에게,4
사랑이야,4
사랑한,4
사랑했다,4
사소한,4
사이를,4
산다는,4
살아가,4
삶의,4
삼킬,4
상관없어,4
상처만,4
색은,4
생각보다,4
생각을,4
생각이,4
선명하게,4
선율이,4
설레게,4
섬,4
세,4
세계,4
세계를,4
세상이라는,4
세포,4
소름이,4
소리는,4
소릴,4
속으로,4
솔직하게,4
수많은,4
순간도,4
순간들이,4
순간만,4
순간에도,4
쉬어,4
쉽진,4
습관처럼,4
시간만,4
시간의,4
시선들,4
식어버린,4
실감,4
심장은,4
싶었던,4
쏙,4
쏟아지는,4
아는데,4
아닐까,4
아무런,4
아침을,4
아침이,4
안될,4
안아줄,4
안아줄게,4
않도록,4
않지,4
알겠어,4
알아주면,4
앞질러,4
야경,4
어깨,4
어둠을,4
어딜,4
어려워,4
어색한,4
어제의,4
어찌,4
언니는,4
언제라도,4
얼어붙은,4
엄마,4
없다고,4
없소똑똑,4
없이도,4
없지만,4
여기에,4
여름밤,4
역시,4
열려,4
열면,4
열어둔,4
영원의,4
영원한,4
오길,4
오해,4
온도,4
온몸에,4
온몸이,4
올라가,4
올지,4
와도,4
왠지,4
외로운,4
외로워,4
외롭지,4
용기가,4
용기를,4
우리만의,4
우리일,4
우회전,4
움직일,4
움직임,4
웃어,4
웃어주는,4
원한다면,4
원할,4
원했다면,4
위험해도,4
은밀하게,4
의미가,4
이러니,4
이별을,4
이상은,4
인사를,4
인정,4
일단,4
일도,4
잃을,4
입을,4
입이,4
있니,4
있다는,4
있어줘,4
있을게,4
있자,4
자네,4
자리,4
자리에,4
잔인한,4
잠들,4
잠들어,4
잠에,4
잡는,4
잡아도,4
잡아볼까,4
잼,4
잼잼,4
쟤야,4
적당히를,4
전생에도,4
전율,4
전하고,4
전해져,4
절망이,4
정신없이,4
조각,4
조명이,4
존재하는,4
좋았던,4
좌회전,4
주윌,4
주인공은,4
주인공인,4
즐겨,4
지금이야,4
지나가는,4
지나면,4
지나온,4
지날,4
지워지지,4
진지하게,4
질문,4
짓게,4
쫓다,4
찌릿찌릿해,4
차,4
차오르는,4
착각하지,4
찰나의,4
참지,4
찾아와,4
채로,4
척은,4
초만,4
춤,4
충분해,4
충분히,4
친구로,4
커져가는,4
컴컴한,4
쿵,4
크게,4
탓이야,4
통하는,4
투명하게,4
툭하면,4
티르소스,4
팔에,4
팔짱,4
퍼지는,4
편의,4
편히,4
펼쳐질,4
표정으로,4
푸르게,4
하나가,4
하나부터,4
하니까,4
하루아침에,4
학,4
한걸음,4
한계를,4
함께라서,4
해라,4
해봐,4
해서,4
해줄,4
했다,4
향기가,4
헤매,4
헤어지는,4
혹시나,4
혹은,4
홀린,4
활짝,4
황금빛,4
황급히,4
후,4
훨씬,4
흐르는,4
흔들,4
힘들어,4
专属,4
世界,4
中,4
到,4
我們,4
时间,4
是,4
被,4
這,4
那,4
5,3
70,3
actin,3
acting,3
addicted,3
ajig,3
ajigeun,3
aju,3
akkawo,3
al,3
amount,3
amuleohji,3
amuleon,3
anchiman,3
angyeoinneun,3
anirago,3
apeuge,3
apeuji,3
areumdaul,3
arms,3
artist,3
aseo,3
attention,3
attracted,3
b,3
background,3
baneung,3
barajin,3
bass,3
bei,3
beoreojigo,3
bicheul,3
bin,3
bitch,3
bling,3
blow,3
boigetjiman,3
bon,3
bonaeyagessji,3
boys,3
brass,3
bravely,3
breath,3
brinks,3
brr,3
brush,3
bubblegum,3
buleugo,3
bulleobomyeon,3
bullet,3
business,3
busy,3
c,3
carefreely,3
ce,3
chalna,3
cham,3
chemistry,3
cheng,3
cheoncheonhi,3
chi,3
chic,3
chinese,3
chocolate,3
choice,3
ci,3
circle,3
city,3
class,3
coming,3
cost,3
curiosity,3
dalppit,3
dangerous,3
danggyeojwo,3
dao,3
deohal,3
deotchilhae,3
deul,3
deune,3
diamond,3
ding,3
doen,3
doing,3
doo,3
doom,3
doomba,3
dorawa,3
drawing,3
dress,3
drunken,3
dugeundae,3
dugeungeorineun,3
dui,3
dunno,3
duryeowo,3
effort,3
em,3
encore,3
endure,3
eochapi,3
eojinda,3
eojjeomyeon,3
eonjekkajina,3
eonjena,3
eopge,3
euishik,3
eullae,3
eumyeo,3
eumyeon,3
eunmilhage,3
everywhere,3
experiment,3
extreme,3
ey,3
eye,3
fame,3
fantasy,3
farther,3
faster,3
fav,3
fen,3
finally,3
flexin,3
freak,3
frozen,3
fu,3
funky,3
funniest,3
gabwa,3
gado,3
gaji,3
gajin,3
gakkai,3
gal,3
gamjeong,3
gamjeongi,3
ganeun,3
gave,3
geng,3
geojana,3
geonji,3
geoul,3
get'em,3
geureoke,3
geurimjaga,3
geuttaewa,3
gieog,3
gieok,3
gipgo,3
gireul,3
glass,3
goddess,3
gomin,3
gonggan,3
grandit,3
gray,3
guan,3
guys,3
gwaenchana,3
gyeondineun,3
gyeot,3
gyesok,3
hacksaw,3
haengboghaeya,3
haengbokae,3
haengbokaejyeo,3
haluleul,3
hamkkeramyeon,3
hand,3
haneure,3
happens,3
hardest,3
haru,3
has,3
heard,3
heart's,3
heartquake,3
hearts,3
hee,3
hell,3
his,3
holding,3
hook,3
hua,3
hurricanes,3
i'mma,3
idaelo,3
ihae,3
ij,3
ijeya,3
ileum,3
iman,3
impulse,3
inde,3
instant,3
ireohge,3
ireon,3
ireul,3
isang,3
iss,3
issneundedo,3
iya,3
iyagi,3
jaba,3
jade,3
jakku,3
jakkuman,3
jal,3
jangnanseule,3
japgo,3
jeokdanghan,3
jeomjeom,3
jeonbu,3
jeopyeoneul,3
ji,3
jigeumcheoleom,3
jinagado,3
johgess,3
juneun,3
keuge,3
keuniriya,3
kicked,3
killers,3
killing,3
kkamjjak,3
kkeojigil,3
kkeoya,3
kkeullyeo,3
kkeuteopsi,3
kkeutnan,3
kkok,3
kkumi,3
knew,3
lately,3
level,3
list,3
looked,3
lose,3
louder,3
makin,3
maldeul,3
maldo,3
mame,3
mandeul,3
maneun,3
manh,3
marya,3
mask,3
meeting,3
melodrama,3
members,3
même,3
meng,3
meolli,3
meomchwojin,3
meomchwoss,3
might,3
mitge,3
moksoril,3
moseubi,3
moshal,3
motion,3
mouth,3
mumble,3
mweonga,3
mwoya,3
naccseoreo,3
naegen,3
namdeureun,3
nameun,3
nani,3
nanwo,3
nawa,3
nawi,3
needs,3
neomeo,3
neomudo,3
neoppuniya,3
nervous,3
nim,3
nogadeuneun,3
nope,3
noraereul,3
nose,3
nunmuri,3
ok,3
oneuldo,3
orite,3
p,3
pains,3
pare,3
persona,3
picture,3
pieonal,3
piryohae,3
playfully,3
playground,3
playing,3
poison,3
poker,3
pounding,3
pow,3
pretty,3
problem,3
qui,3
rains,3
rambo,3
reaction,3
realizing,3
reap,3
refreshingly,3
regret,3
ressentir,3
rest,3
roll,3
ruby,3
s,3
saeng,3
saenggakhae,3
salam,3
salanghandan,3
sandaneun,3
sangsanghae,3
saved,3
saying,3
scary,3
scenario,3
screen,3
seat,3
seolleil,3
seonmyeonghan,3
seoro,3
serenade,3
sesang,3
sesangeul,3
sexy,3
shade,3
shame,3
shared,3
shigani,3
shinsegye,3
shipji,3
shou,3
shwipji,3
sido,3
silheo,3
simjangi,3
singing,3
sings,3
sipeun,3
sitting,3
siwonhage,3
size,3
sleeping,3
soju,3
solichyeo,3
somewhere,3
soneul,3
space,3
ssigssighage,3
ssok,3
standing,3
staying,3
street,3
stress,3
stu,3
stuck,3
studio,3
sumgil,3
sunday,3
sungane,3
sunlight,3
swil,3
tacks,3
tan,3
teolteolhage,3
teum,3
text,3
they'll,3
thrill,3
thrilling,3
tighter,3
tired,3
traded,3
treasure,3
truck,3
ttaedo,3
tteugeoweojija,3
tugtug,3
tui,3
tumble,3
under,3
undo,3
wa,3
walked,3
walking,3
wanbyeokae,3
waste,3
wave,3
weonhan,3
whatever,3
while,3
won,3
wonderful,3
woneul,3
woop,3
word,3
y'all,3
yaegi,3
yaoh,3
yellow,3
yeongyeoldwae,3
yummy,3
yun,3
zoom,3
가까운,3
가득해,3
가든,3
가라는,3
가려진,3
가로등도,3
가봐,3
가쁜,3
가시,3
가시가,3
가시나왜,3
가자,3
가자고,3
가질래,3
가짜,3
각자의,3
간,3
간직했던,3
갇혔어,3
감각심장은,3
감아도,3
감추지,3
감춰왔었던,3
갑자기,3
갑작스러운,3
같아요,3
같을,3
개,3
거라고나,3
거라는,3
거리에,3
거부하지,3
거울에,3
거침이,3
건널까요,3
걷히고,3
걸리질,3
걸을,3
검은,3
것들,3
게으른,3
견디는,3
결국엔,3
계속될,3
계속해서,3
계절에도,3
고마운,3
고양이처럼,3
고요를,3
고요했던,3
고작,3
고통,3
고픈,3
골라,3
곳에서,3
공간에,3
공기,3
공식,3
괜찮은,3
괴로움,3
구하러,3
구했나,3
굴어도,3
귀에,3
귓가에,3
규칙을,3
그다음,3
그때로,3
그때와,3
그랬던,3
그러니까,3
그럴수록,3
그럼에도,3
그렇지,3
그려왔던,3
그려져,3
그리움에,3
그리워해봐도,3
그림,3
그림자가,3
그보다,3
글자,3
기나긴,3
기다려요,3
기다려져,3
기다리는,3
기대해,3
기댄,3
기도,3
기분을,3
기억만,3
기억하기를,3
기억하니,3
기억할,3
기억해줘,3
길어,3
깊고,3
깊어지는,3
깊어진,3
깨버린,3
깨울,3
깨워버렸어,3
깨워봐,3
꺼져버린,3
꺼지고,3
꺼지길,3
꽤나,3
꽹과리,3
꾸던,3
꿈꿔온,3
꿈의,3
꿈이라,3
꿈이라면,3
꿈이자,3
끄떡없었는데,3
끈,3
끌고,3
끌리는,3
끌어당겨,3
끝장내는,3
나게,3
나누고,3
나눠,3
나니,3
나라를,3
나른한,3
나보다,3
나위,3
나인,3
나일,3
나중에,3
나한테,3
난다,3
난리가,3
난만하게,3
난지,3
날개로,3
날뛰어,3
날라리,3
날리며,3
날아갈래,3
남,3
남겨둔,3
남고,3
남들은,3
남았을,3
남자들은,3
났어,3
낯설어,3
내려,3
내리죠,3
내쉬기도,3
너너너너,3
너라서,3
너뿐이야,3
너야만,3
너에겐,3
너여야만,3
너였구나,3
넘기면,3
네게서,3
노래하고,3
놀라게,3
놀랐니,3
놀리지,3
높여,3
놓던,3
누구라도,3
누구보다도,3
누군,3
누군가,3
누군지,3
눈감아주는,3
눈눈눈눈눈눈,3
눈물도,3
눈부시지,3
눈으로,3
느꼈어,3
느끼고,3
느낀,3
느낌을,3
느낌표,3
늦기,3
다가가,3
다가가고,3
다가가면,3
다섯,3
다시는,3
다치게,3
다치고,3
단단히,3
단번에,3
달고,3
달라지는,3
달아올라,3
달짝지근,3
달콤해,3
닳는,3
담았지만,3
담은,3
답이,3
당연하게,3
당하고,3
당황하는,3
대답하고,3
대답하지,3
대책,3
대혼란,3
더할,3
던진,3
던질,3
덧칠해,3
도,3
도는,3
도망,3
도망가,3
도망칠,3
도착,3
돌릴,3
돌아보지,3
돌지,3
돼줄게,3
됐고,3
되돌리기엔,3
두근거리는,3
두근대,3
두근대는,3
두려운,3
둘을,3
둘이만,3
둘이잖아,3
뒤로,3
뒤바뀌어,3
뒤엉켜,3
뒤집혀,3
드는,3
든,3
들고,3
들려주고,3
들리는,3
들릴까,3
들지,3
등장하면서부터,3
따뜻하구나,3
따스히,3
땀방울,3
때가,3
때부터,3
떠나지,3
떠난,3
떠돌이,3
떠오를,3
떠올라,3
떠올려,3
떨궈,3
떨림은,3
떨림을,3
뗄,3
똑바로,3
뛰어들게,3
뛰어들지,3
뛰어봐,3
뜨거워지자,3
뜨게,3
뜬,3
라고,3
라라라라라,3
를,3
리듬,3
마는,3
마비된,3
마음까지,3
마음도,3
마음의,3
마주친,3
막는,3
만나러,3
많어,3
많은걸,3
많지,3
말던가,3
말들로,3
말들은,3
말로만,3
말말말말말,3
말아줘,3
말자,3
말죠,3
말처럼,3
말투는,3
맘과,3
맘처럼,3
맛을,3
맞지,3
맞춰보고,3
매너는,3
매일매일,3
매진,3
맨날,3
맴돌고,3
머금어도,3
머리부터,3
머리에,3
머리에서,3
멀어져도,3
멀어지는,3
멀어진다,3
멀지,3
멈춰버린,3
멋지니,3
멍멍멍,3
모레도,3
모습도,3
모습에,3
모습은,3
목소릴,3
목에서,3
목이,3
몰아치는,3
몸에,3
못해도,3
무덤덤했는데,3
무뎌지는,3
무서움과,3
무서워,3
무섭지,3
무수한,3
무표정,3
무한의,3
문제,3
묻고,3
물어봐,3
물음표,3
뭐고,3
뭘까,3
미래는,3
미로에,3
미소는,3
미워하게,3
미쳐버려,3
미칠,3
믿게,3
믿는,3
믿음이,3
바뀌는,3
바라보며,3
바라볼,3
바라진,3
바랄,3
바람에,3
바른,3
밖,3
반복,3
반응,3
반짝,3
반짝이게,3
밟아,3
밤들,3
밤인,3
밤하늘,3
밤하늘의,3
방에,3
방탄소년단,3
배워,3
밴,3
버리게,3
번개처럼,3
번도,3
번씩,3
번을,3
번져가,3
번호도,3
벌어지고,3
법애써,3
법을,3
벗어나,3
벗어날,3
벚꽃도,3
벨,3
변화시켜,3
별빛에,3
별이,3
보내놓고,3
보내야겠지,3
보내주기,3
보란,3
보여서,3
보이게,3
보이겠지만,3
보자마자,3
보잘것없는,3
본성을,3
볼게,3
볼만한,3
봄바람이,3
봐요,3
부나비,3
부르고,3
부른,3
부를,3
부셔,3
분명,3
불가사의야,3
불길,3
불러보면,3
불러줘,3
불쌍해하지,3
불씨,3
불안한,3
불어,3
불어오면,3
불처럼,3
비밀을,3
비슷해,3
비정상,3
비춘,3
비춰줄,3
빈틈에,3
빌어,3
빛에,3
빠져나가는,3
빠져들고,3
빠져들수록,3
빠져들어가,3
뼘,3
뿜뿜뿜뿜,3
사는,3
사라져라,3
사람들과,3
사랑만,3
사랑의,3
사랑이,3
사랑하고,3
사실은,3
사이에,3
사이의,3
살며시,3
살아가고,3
살아요,3
삶,3
삶과,3
상상을,3
상상해,3
상처는,3
새까만,3
새벽이,3
색인걸,3
생각만,3
생각하지,3
서두르단,3
서로에게,3
설레일,3
설렐,3
섭리,3
성격도,3
세게,3
세상에서,3
세상엔,3
세상의,3
셋,3
소린,3
소중하게,3
소통,3
속삭이는,3
속삭이면,3
손가락,3
손짓,3
솔직한,3
솟아,3
쇠뿔,3
수록,3
수평선,3
순간까지,3
순간부터,3
순간의,3
순수한,3
술래는,3
쉬겠지만,3
쉬듯,3
쉬워,3
스르르르르르,3
스쳐가는,3
스치기도,3
스칠,3
시간까지,3
시간도,3
시간들을,3
시간이에요,3
시네,3
시도,3
시련을,3
시선,3
식혀,3
신나니까요,3
신세계,3
신호탄,3
싫은데,3
심장에,3
심해,3
싶다,3
싶다며,3
싶단,3
쓰고,3
쓰레기,3
쓴,3
씩씩하게,3
아나,3
아니까,3
아니니,3
아니라,3
아님,3
아름답게,3
아이는,3
아찔해져요,3
아침,3
아파,3
아파와도,3
아프고,3
아프다니까,3
아픔도,3
악랄한,3
악몽처럼,3
안겨,3
안겨있는,3
안되면,3
않나,3
않니,3
않대,3
않아서,3
않아요,3
알겠지만,3
알까,3
알다시피,3
알아서,3
알았다면,3
알지,3
앞에서,3
애,3
애들은,3
애태우게,3
애태우고,3
야야야,3
약속할게,3
약속해,3
어깨에,3
어두워진,3
어디론가,3
어디야,3
어디에도,3
어딨어,3
어떻게든,3
어려워거짓말처럼,3
어렸어,3
어린아이,3
어제,3
어지러운,3
억,3
언니,3
언제부턴가,3
얼굴에,3
얼음,3
엄마야,3
엄지손가락으로,3
없고,3
없나,3
없어지는,3
없었어,3
엇갈린,3
에도,3
엘사,3
여러,3
연결돼,3
연락하지,3
열고,3
열까지,3
영원토록,3
영혼의,3
예상을,3
예술에,3
오고,3
오늘을,3
오래된,3
오래전,3
오랜,3
오후에,3
온기가,3
올려,3
옷을,3
와서야,3
완벽해진우리,3
완전히,3
왔던,3
왔지,3
왕관이,3
외워,3
용기,3
우리도,3
우주의,3
운명같이,3
울리며,3
웃게,3
웃어봐,3
웃으면서,3
웃지,3
원을,3
웬만한,3
위험에서,3
유지해,3
은하수,3
은하수를,3
음악에,3
의미를,3
의식,3
이곳,3
이곳에,3
이곳은,3
이끌림,3
이끌어,3
이대로도,3
이랬구나,3
이럴,3
이리도,3
이리저리,3
이상할,3
이유가,3
익숙해져,3
인사해,3
인정하기,3
일어날,3
일을,3
일이,3
일이잖아그냥,3
일이칠,3
일인데,3
일직선,3
잃어도,3
잃지,3
입맛도,3
있길,3
있는데도,3
있다고,3
있단,3
있어줘요,3
있으니,3
있음을,3
잊어요,3
잊으리라,3
잊지마,3
자고,3
자극,3
자연스러워,3
자유롭게,3
자유롭지,3
잠시만,3
잠재운,3
잡으려,3
장난스레,3
재미없던,3
재밌을,3
재지,3
저음,3
저편을,3
적당한,3
적당히,3
전생에,3
전혀,3
전화,3
정글짐에,3
정도껏,3
정도야,3
정반대인,3
정색이야,3
정해졌어,3
젖어,3
제자리에,3
조심히,3
조용히,3
졸고,3
종이,3
좋다,3
좋더라,3
좋아할,3
좋았었다는,3
좋을,3
좋을까,3
주문을,3
주오,3
주위를,3
주저앉더라도금방,3
주저하게,3
죽은,3
준다면,3
준비,3
준비가,3
중심,3
중심을,3
줘요,3
지금과는,3
지금이,3
지기,3
지껄이지,3
지나가도,3
지나갈,3
지는,3
지를,3
지우리라,3
지우지,3
지워야,3
지워줘,3
지지,3
지키는,3
직진해,3
진심은,3
진심이야,3
진짜를,3
진짜인지,3
집,3
집어치우고,3
집이,3
짜릿하게,3
짜릿한,3
쪽,3
차갑고,3
차게,3
차도,3
차리고,3
착각인,3
찬란한,3
참고,3
찾기,3
찾은,3
채워둔,3
채워줄,3
채워지지,3
척해줘,3
초라한,3
최고의,3
추억,3
춤추게,3
치느님을,3
치워,3
치워봐봐,3
칠흑,3
침범이야,3
카우아이,3
커져가,3
커져버린,3
커지는,3
컵,3
코,3
콧노래가,3
큰일이야,3
키스해줘,3
킥,3
탕진,3
태도,3
태양인,3
터지는,3
턱,3
털고,3
털털하게,3
툭툭,3
특별해,3
틀에,3
틈에,3
파도에,3
파란이,3
퍼져,3
페달을,3
페이지를,3
편이,3
펼쳐져,3
평가해대지,3
평생,3
포근히,3
포기,3
표현,3
풀고,3
품던,3
품은,3
품이,3
피고,3
피리소릴,3
피어나도록,3
피어날,3
피워,3
피할,3
필요하지,3
핑핑,3
하나까지도,3
하나뿐인,3
하냐고,3
하네,3
하늘은,3
하루는,3
하루하루가,3
하얘질,3
한계,3
한다고,3
한마디도,3
한순간에,3
한숨을,3
할까요,3
할수록,3
함께니까,3
함께하는,3
함께했던,3
햇살보다,3
했는데,3
행복이,3
행복하지,3
행복한,3
행복해야,3
행복해져,3
향기,3
향기는,3
허락된,3
허락해줘요,3
헤,3
헤매고,3
헤매던,3
헤매이지,3
헤어나올,3
헤쳐,3
현실은,3
호기심,3
혼자여도,3
혼자인,3
화가,3
확실한,3
환상,3
환생한,3
활,3
휠릴리리리리,3
흐르듯,3
흐트러진,3
흔들릴까요,3
흔적조차,3
흘러가겠지,3
흘러가는,3
흩날린,3
흰,3
힘든,3
一個,3
乱了,3
你的,3
倾听,3
偷,3
再次,3
分攤,3
别,3
卻,3
命運,3
和,3
回忆,3
圓,3
堅持,3
堅決,3
夢,3
她是,3
它,3
宣告,3
就會,3
幸福,3
开始,3
我有,3
手,3
把,3
接受,3
握緊,3
放在,3
更近,3
武器,3
殘缺,3
永遠,3
独一无二,3
用心,3
畫成,3
相連,3
能,3
节奏,3
離,3
150,2
20,2
able,2
accessory,2
achoo,2
aedeureun,2
affecting,2
agal,2
aicheoreom,2
akkimeopshi,2
allure,2
amazed,2
amu,2
amuri,2
anhgo,2
anhneun,2
anin,2
anko,2
anna,2
anyth,2
apawado,2
ape,2
ara,2
area,2
areumdaun,2
art,2
artists,2
asleep,2
ass,2
aston,2
aswium,2
avec,2
aw,2
babogati,2
baetgo,2
baetji,2
balance,2
bamsaeun,2
banger,2
barame,2
bareul,2
beginning,2
behind,2
bell,2
below,2
belts,2
beollyeo,2
between,2
bi,2
bich,2
biggie,2
bingbing,2
blade,2
bless,2
blind,2
blown,2
bogi,2
bogjabhan,2
boiji,2
bojamaja,2
bonae,2
boon,2
both,2
bought,2
boyeo,2
boyeojul,2
buneun,2
bungee,2
burned,2
burnin,2
button,2
buy,2
bwado,2
bwatjiman,2
byeonhaeganeun,2
café,2
calls,2
calm,2
came,2
candy,2
cannot,2
cell,2
changed,2
chaolla,2
charming,2
cheek,2
cheukjeongi,2
chill,2
chillin,2
cho,2
chocolat,2
choerry,2
chop,2
chu,2
chueog,2
classic,2
closing,2
comin,2
comment,2
complex,2
complicated,2
coo,2
course,2
cover,2
criminal,2
crowd,2
cruisin,2
cure,2
dabeun,2
dagawa,2
dai,2
dalkomhan,2
dalli,2
damn,2
dangyeonhage,2
dans,2
dazzling,2
denim,2
depressed,2
des,2
desert,2
deullindamyeon,2
deullyeo,2
deut,2
dice,2
diving,2
doctor,2
dodi,2
doeneun,2
dogeum,2
doigts,2
dollarsif,2
dong,2
dugo,2
duo,2
duri,2
duriseo,2
duru,2
dwaejul,2
eat,2
embezzlement,2
emotion,2
emotions,2
eobeolillae,2
eobsjanh,2
eodiseo,2
eodiseonga,2
eodumi,2
eoje,2
eojjeol,2
eojji,2
eokkael,2
eomneun,2
eoneu,2
eonje,2
eonwa,2
eopji,2
eopshi,2
eoril,2
eorin,2
eseo,2
euimi,2
excited,2
exhausted,2
facing,2
faithfully,2
fastened,2
fat,2
fell,2
felony,2
fight,2
filled,2
flash,2
fo,2
fooled,2
foolishly,2
found,2
foxy,2
gabeoril,2
gadhyeoissji,2
gadul,2
gakkeum,2
gakkeumeun,2
galaxy,2
gam,2
gameulkke,2
gameun,2
gamssa,2
gan,2
ganda,2
gappeun,2
gaseumdo,2
gatae,2
gentlemen,2
geora,2
georamyeon,2
geosdo,2
geotto,2
geoya,2
gets,2
geudael,2
geuge,2
geujeo,2
geunde,2
geuriul,2
geuryeowatteon,2
gibun,2
gidaryeoon,2
gidoga,2
giga,2
gilgodo,2
giving,2
goosebumps,2
grab,2
gracefully,2
great,2
gu,2
guess,2
gyeolmari,2
gyeondigi,2
haengboghaji,2
haess,2
haha,2
hahaha,2
hanado,2
handle,2
hanjjog,2
happen,2
hater,2
having,2
hehehehehe,2
heumppeok,2
heundeul,2
hidden,2
highlight,2
hokshi,2
hollo,2
homie,2
honjaga,2
honjaseon,2
honored,2
hoped,2
hours,2
huai,2
hub,2
hwanhan,2
hyanghan,2
i'd,2
ibeul,2
ice,2
igeon,2
ijeneun,2
ijeo,2
ijeseoya,2
ijji,2
ileohge,2
image,2
imi,2
immeasurable,2
ireol,2
iron,2
isseojwo,2
itneun,2
ittago,2
j'ai,2
jabeumyeon,2
jacket,2
jackknife,2
jageuk,2
jeogi,2
jeok,2
jeolttae,2
jeone,2
jewelry,2
jichin,2
jie,2
jinan,2
joa,2
jogeumman,2
joteora,2
junbiga,2
jwigo,2
karaoke,2
karma's,2
key,2
kitchen,2
kitty,2
kkeudeopshi,2
kkog,2
l.i.e,2
ladies,2
lady,2
laralala,2
learn,2
leaves,2
lemon,2
less,2
liar,2
lil,2
lip,2
lit,2
lock,2
lodi,2
loneliness,2
losing,2
love's,2
lovers,2
loyal,2
maeume,2
magyeonhi,2
mail,2
malhaejweodo,2
mallo,2
mandeulgo,2
manha,2
manheo,2
manheun,2
marching,2
mareul,2
mariya,2
martian,2
martin,2
master,2
matgyeodo,2
meolin,2
meomchun,2
meonjeo,2
meositge,2
mes,2
metal,2
mian,2
michigesseo,2
milchyeonae,2
mileage,2
milgo,2
miso,2
misoga,2
missed,2
molla,2
mollasseulkka,2
mon,2
months,2
moripalsurok,2
morning,2
moseubeul,2
mothae,2
movie,2
muse,2
mwodeunji,2
mworeul,2
nada,2
naerigo,2
nalang,2
namgyeodun,2
namjoon,2
nanananananana,2
naneunde,2
nappuniya,2
naughty,2
naye,2
neck,2
neocheoreom,2
neoe,2
neoege,2
neoga,2
